RasPi,Camera,position,Genotype,Treatment
raspiM,cameraA,1,Col-0,Stress_1week
raspiM,cameraA,3,Col-0,Stress_1week
raspiM,cameraA,4,Col-0,Stress_1week
raspiM,cameraA,6,Col-0,Stress_1week
raspiM,cameraA,9,Col-0,Stress_1week
raspiM,cameraA,11,Col-0,Stress_1week
raspiM,cameraA,12,Col-0,Stress_1week
raspiM,cameraA,14,Col-0,Stress_1week
raspiM,cameraB,1,Col-0,Stress_1week
raspiM,cameraB,3,Col-0,Stress_1week
raspiM,cameraB,4,Col-0,Stress_1week
raspiM,cameraB,6,Col-0,Stress_1week
raspiM,cameraB,9,Col-0,Stress_1week
raspiM,cameraB,11,Col-0,Stress_1week
raspiM,cameraB,14,Col-0,Stress_1week
raspiT,cameraA,1,Col-0,Control
raspiT,cameraA,4,Col-0,Control
raspiT,cameraA,6,Col-0,Control
raspiT,cameraA,9,Col-0,Control
raspiT,cameraA,11,Col-0,Control
raspiT,cameraA,12,Col-0,Control
raspiT,cameraA,14,Col-0,Control
raspiT,cameraB,1,Col-0,Control
raspiT,cameraB,3,Col-0,Control
raspiT,cameraB,4,Col-0,Control
raspiT,cameraB,6,Col-0,Control
raspiT,cameraB,9,Col-0,Control
raspiT,cameraB,11,Col-0,Control
raspiT,cameraB,12,Col-0,Control
raspiT,cameraB,14,Col-0,Control
raspiU,cameraA,1,Col-0,Stress_2week
raspiU,cameraA,3,Col-0,Stress_2week
raspiU,cameraA,4,Col-0,Stress_2week
raspiU,cameraA,6,Col-0,Stress_2week
raspiU,cameraA,9,Col-0,Stress_2week
raspiU,cameraA,11,Col-0,Stress_2week
raspiU,cameraA,12,Col-0,Stress_2week
raspiU,cameraA,14,Col-0,Stress_2week
raspiU,cameraB,1,Col-0,Stress_2week
raspiU,cameraB,4,Col-0,Stress_2week
raspiU,cameraB,6,Col-0,Stress_2week
raspiU,cameraB,9,Col-0,Stress_2week
raspiU,cameraB,11,Col-0,Stress_2week
raspiU,cameraB,12,Col-0,Stress_2week
raspiU,cameraB,14,Col-0,Stress_2week
